machine_type,operating_hours,temperature_c,vibration_mm_s,pressure_bar,days_since_maintenance,shift,environment,error_count_30d,energy_kw,failure_next_7_days
A,3743,84.93,5.64,7.06,76,noche,seco,1,39.02,0
A,6478,58.5,4.84,6.96,69,tarde,humedo,4,53.89,0
B,5068,53.86,3.09,5.84,138,manana,humedo,2,41.66,0
A,4699,67.94,4.92,7.4,122,tarde,seco,3,34.26,0
B,6497,78.92,4.21,5.85,202,tarde,humedo,1,36.76,0
C,4624,90.06,4.96,6.16,45,tarde,seco,1,41.83,0
A,5242,74.56,3.89,6.62,137,manana,humedo,3,50.35,0
B,5568,52.22,2.99,5.64,117,manana,seco,1,47.5,0
A,3963,65.61,4.31,6.05,44,tarde,seco,0,26.05,0
B,7487,66.7,3.82,5.54,116,manana,polvoriento,4,47.26,0
B,4141,52.56,1.84,6.3,212,tarde,polvoriento,1,43.69,0
A,3951,67.41,1.67,5.82,106,manana,seco,1,47.67,0
A,4859,64.1,3.71,6.67,150,tarde,polvoriento,2,45.22,0
B,8883,68.31,3.33,5.76,59,tarde,seco,4,35.47,0
B,4685,71.67,1.94,6.42,119,noche,polvoriento,2,52.6,0
C,2431,67.63,2.45,6.81,8,tarde,seco,4,52.04,0
C,7605,69.91,3.35,6.89,79,noche,seco,1,57.49,0
A,5700,68.16,4.86,6.8,50,noche,seco,1,54.7,0
A,12316,70.4,4.66,6.84,104,tarde,polvoriento,5,49.01,0
C,9733,65.14,3.63,5.83,38,tarde,seco,1,57.57,0
A,4747,69.41,2.64,5.93,73,manana,seco,2,51.15,0
A,7454,77.66,3.36,6.18,170,manana,humedo,2,37.07,0
A,6053,87.65,3.47,7.25,78,tarde,polvoriento,1,32.16,0
A,819,65.03,4.7,7.58,99,tarde,humedo,1,34.74,0
C,6305,91.19,4.52,5.74,189,noche,polvoriento,3,45.55,1
A,8134,74.17,5.32,6.01,93,tarde,seco,3,49.52,0
A,4066,65.85,4.08,5.9,86,tarde,polvoriento,3,43.42,0
A,8072,63.72,4.35,6.1,117,tarde,seco,3,52.22,1
C,1540,76.53,4.62,7.07,46,manana,seco,0,48.13,0
A,2718,58.92,5.87,5.47,35,noche,polvoriento,3,47.25,0
B,3053,66.79,2.57,6.49,154,tarde,seco,4,66.64,0
A,2781,72.66,2.31,6.09,52,tarde,humedo,3,46.68,0
A,6381,67.99,4.57,7.38,175,tarde,seco,4,41.2,1
B,2815,63.16,3.2,5.36,58,noche,humedo,3,52.12,1
A,9509,68.08,3.2,6.64,87,manana,humedo,2,53.99,0
A,3862,72.59,4.07,5.99,154,manana,seco,2,51.7,0
C,8085,73.94,4.3,7.13,53,noche,seco,2,45.64,0
B,8381,85.93,3.71,6.72,78,tarde,humedo,4,46.91,0
B,6979,79.94,6.14,6.39,16,tarde,seco,4,53.26,1
B,7157,59.4,3.9,5.55,122,tarde,polvoriento,3,64.49,0
A,3508,63.11,0.4,6.0,78,noche,polvoriento,6,50.19,0
B,3397,59.0,3.35,6.38,76,manana,humedo,3,43.18,0
C,4683,86.0,4.9,7.39,55,manana,humedo,1,52.45,0
B,5986,67.15,3.5,6.89,72,noche,humedo,4,36.82,0
B,6066,66.3,3.99,7.63,100,manana,seco,2,45.74,0
A,4563,57.27,3.76,5.16,152,noche,seco,4,48.3,0
C,1955,80.94,4.56,5.2,89,tarde,seco,2,71.35,0
A,5159,75.78,4.54,6.16,101,manana,seco,5,47.74,0
B,5686,66.1,,4.71,165,tarde,seco,1,44.15,0
C,6084,60.15,5.17,6.41,127,manana,polvoriento,5,43.94,0
B,9133,64.75,2.78,6.21,143,tarde,polvoriento,1,41.48,0
A,2778,59.65,3.22,7.57,61,manana,humedo,1,47.11,0
B,6822,62.67,1.23,7.14,127,manana,seco,3,30.65,0
B,1843,68.83,1.51,5.79,53,noche,seco,3,47.68,0
B,9161,71.57,5.31,5.82,60,tarde,seco,3,34.56,0
A,7232,67.02,2.92,5.08,8,manana,polvoriento,3,44.07,0
B,5420,72.23,2.6,7.16,25,noche,seco,3,47.88,0
B,4897,57.41,4.74,6.49,106,tarde,seco,1,29.32,0
B,5881,68.04,2.7,6.19,148,tarde,seco,1,38.32,0
B,4551,74.62,3.5,5.34,89,manana,seco,0,37.43,0
B,3597,76.78,2.74,6.48,84,tarde,humedo,3,54.88,0
C,9576,79.27,3.9,6.1,22,tarde,polvoriento,3,57.71,0
A,9538,61.89,2.68,,53,manana,humedo,3,41.25,0
B,6757,77.53,4.62,6.3,36,noche,polvoriento,1,42.71,0
B,4092,66.12,3.29,6.34,78,tarde,humedo,1,49.23,0
C,6607,76.64,2.66,6.14,34,tarde,seco,1,46.39,0
C,6516,77.97,5.38,6.54,66,manana,seco,2,48.34,0
A,2466,67.7,4.18,7.4,68,manana,polvoriento,0,51.48,0
C,10201,77.72,3.86,6.8,27,tarde,seco,2,57.96,0
B,6371,74.53,6.11,4.41,115,tarde,seco,0,36.34,1
B,6932,64.06,4.46,6.6,34,manana,seco,2,56.53,0
B,6914,69.12,3.57,7.43,54,noche,seco,13,45.51,0
A,4069,72.43,3.28,6.72,133,manana,seco,2,46.24,0
C,9145,75.22,5.34,5.44,115,tarde,humedo,3,53.24,0
A,7573,56.57,3.85,7.81,68,tarde,polvoriento,1,49.36,0
A,5124,92.0,2.42,6.55,156,noche,polvoriento,3,55.8,0
A,3899,63.62,4.77,7.08,33,noche,seco,3,49.21,0
B,6212,67.68,3.57,6.7,45,tarde,seco,5,45.1,0
A,1359,70.86,3.79,6.55,105,manana,polvoriento,1,46.16,0
A,7827,76.01,2.8,6.35,138,manana,humedo,3,32.9,0
A,3083,65.09,4.04,6.42,144,tarde,seco,3,57.05,0
B,5657,60.5,3.82,5.37,33,tarde,seco,0,34.81,0
B,6308,71.42,4.99,5.42,100,manana,polvoriento,2,53.3,0
A,3178,71.99,2.89,7.07,147,tarde,polvoriento,1,37.48,0
A,5910,82.23,4.01,7.36,87,tarde,humedo,1,51.21,0
C,4719,77.5,3.97,5.01,26,manana,humedo,2,58.85,0
B,4509,53.96,4.98,6.41,112,tarde,seco,1,46.29,0
